sample_id,material,n_Sn_sites,max_site,A_ELF,A_ELF_squared,FWHM_meV
m00,"1,3CDMA",4,1;2;3;4,0.00711122670809507,5.05695452939247e-05,137.161159430767
m01,4AMP,8,5,0.128013037865703,0.0163873378636058,177.718487150994
m02,3AMP,4,2;3,0.0283044762491019,0.000801143375735973,141.433778040839
m03,4AMPy,4,4,0.144916381973458,0.0210007577642771,275.701165227732
m04,DGA,8,7,0.190970895078611,0.0364698827671259,515.298376907116
m05,2AEPy,4,2;4,0.121482103510073,0.0147579014732322,242.831428581324
m06,4AEPy,4,1,0.0870177729618283,0.0075720928112363,130.216635586501
m07,BDA,2,2,0.00416551715704513,1.73515331856374e-05,135.60634074896
m08,OBE,4,2,0.0933623767137031,0.00871653338563141,287.799712334037
m09,AEP,4,3,0.220252178542996,0.0485110221529357,597.386103078795
m10,HDA,2,1,0.00170421072498642,2.90433419515875e-06,122.036711380328
m11,DAN,2,2,0.00171774590522659,2.9506509949227e-06,145.635144753527
m12,"1,4CDMA",2,2,0.00163049149527571,2.65850251616643e-06,111.393460937751
