candidate_key,required_modules,object_type,local_expression,local_operation,source_primitives,within_reducer,across_reducer,unit,outer_transform,numeric_family_id,is_family_representative,feature_id,grid_dependent,max_grid_spread_pct_of_full_range,grid_stable
sn_i_bond|d|within=mean|across=site_cv,A,sn_i_bond,d,identity,d,mean,site_cv,1,identity,aa553a4864c2,True,f001642,True,0,True
sn_i_bond|d|within=sd|across=site_cv,A,sn_i_bond,d,identity,d,sd,site_cv,1,identity,593d97df1aa2,True,f001647,True,0,True
sn_i_bond|d|within=cv|across=mean,A,sn_i_bond,d,identity,d,cv,mean,1,identity,4336026cdc5c,True,f001648,True,0,True
sn_i_bond|d|within=cv|across=median,A,sn_i_bond,d,identity,d,cv,median,1,identity,8ce1f707fa4a,True,f001649,True,0,True
sn_i_bond|d|within=cv|across=max,A,sn_i_bond,d,identity,d,cv,max,1,identity,9f8003a8699a,True,f001650,True,0,True
sn_i_bond|d|within=cv|across=range,A,sn_i_bond,d,identity,d,cv,range,1,identity,3dd7ec95f40c,True,f001651,True,0,True
sn_i_bond|d|within=cv|across=site_cv,A,sn_i_bond,d,identity,d,cv,site_cv,1,identity,746eced0d4cc,True,f001652,True,0,True
sn_i_bond|d|within=normalized_range|across=mean,A,sn_i_bond,d,identity,d,normalized_range,mean,1,identity,a6e3733b9bce,True,f001653,True,0,True
sn_i_bond|d|within=normalized_range|across=median,A,sn_i_bond,d,identity,d,normalized_range,median,1,identity,823cda0c0bfb,True,f001654,True,0,True
sn_i_bond|d|within=normalized_range|across=max,A,sn_i_bond,d,identity,d,normalized_range,max,1,identity,85c3780bf030,True,f001655,True,0,True
sn_i_bond|d|within=normalized_range|across=range,A,sn_i_bond,d,identity,d,normalized_range,range,1,identity,f6467b3f7540,True,f001656,True,0,True
sn_i_bond|d|within=normalized_range|across=site_cv,A,sn_i_bond,d,identity,d,normalized_range,site_cv,1,identity,68bf308ebd93,True,f001657,True,0,True
sn_i_bond|d|within=mad|across=site_cv,A,sn_i_bond,d,identity,d,mad,site_cv,1,identity,588d5faf77a8,True,f001662,True,0,True
sn_i_bond|d|within=iqr|across=site_cv,A,sn_i_bond,d,identity,d,iqr,site_cv,1,identity,225ae25398bc,True,f001667,True,0,True
sn_i_bond|d|within=min|across=site_cv,A,sn_i_bond,d,identity,d,min,site_cv,1,identity,a32a9a4d067b,True,f001672,True,0,True
sn_i_bond|d|within=max|across=site_cv,A,sn_i_bond,d,identity,d,max,site_cv,1,identity,b8d970504e57,True,f001677,True,0,True
sn_i_bond|d|within=top2_deviation|across=site_cv,A,sn_i_bond,d,identity,d,top2_deviation,site_cv,1,identity,a3d01f7b67bc,True,f001682,True,0,True
