outer_fold,held_out_material,feature_id,candidate_key,local_expression,within_reducer,across_reducer,outer_transform,exact_S_range_max_squared,same_range_max_squared_template
0,"1,3CDMA",f052503,"outer=sq|sn_i_bond|mult(h,r)|within=normalized_range|across=max","mult(h,r)",normalized_range,max,sq,True,True
1,4AMP,f025526,outer=sq|sn_i_bond|sq(r)|within=normalized_range|across=max,sq(r),normalized_range,max,sq,False,True
2,3AMP,f052503,"outer=sq|sn_i_bond|mult(h,r)|within=normalized_range|across=max","mult(h,r)",normalized_range,max,sq,True,True
3,4AMPy,f052503,"outer=sq|sn_i_bond|mult(h,r)|within=normalized_range|across=max","mult(h,r)",normalized_range,max,sq,True,True
4,DGA,f042431,"outer=sq|sn_i_bond|mult(d,h)|within=normalized_range|across=max","mult(d,h)",normalized_range,max,sq,False,True
5,2AEPy,f052503,"outer=sq|sn_i_bond|mult(h,r)|within=normalized_range|across=max","mult(h,r)",normalized_range,max,sq,True,True
6,4AEPy,f052503,"outer=sq|sn_i_bond|mult(h,r)|within=normalized_range|across=max","mult(h,r)",normalized_range,max,sq,True,True
7,BDA,f052503,"outer=sq|sn_i_bond|mult(h,r)|within=normalized_range|across=max","mult(h,r)",normalized_range,max,sq,True,True
8,OBE,f052503,"outer=sq|sn_i_bond|mult(h,r)|within=normalized_range|across=max","mult(h,r)",normalized_range,max,sq,True,True
9,AEP,f052503,"outer=sq|sn_i_bond|mult(h,r)|within=normalized_range|across=max","mult(h,r)",normalized_range,max,sq,True,True
10,HDA,f052503,"outer=sq|sn_i_bond|mult(h,r)|within=normalized_range|across=max","mult(h,r)",normalized_range,max,sq,True,True
11,DAN,f052503,"outer=sq|sn_i_bond|mult(h,r)|within=normalized_range|across=max","mult(h,r)",normalized_range,max,sq,True,True
12,"1,4CDMA",f052503,"outer=sq|sn_i_bond|mult(h,r)|within=normalized_range|across=max","mult(h,r)",normalized_range,max,sq,True,True
