material,site,M_min,M_max,M_mean,A_j,is_material_max
"1,3CDMA",1,0.428414816672759,0.431474785923198,0.430301180941837,0.00711122670809507,True
"1,3CDMA",2,0.428414816672759,0.431474785923198,0.430301180941837,0.00711122670809494,True
"1,3CDMA",3,0.428414816672759,0.431474785923198,0.430301180941837,0.00711122670809482,True
"1,3CDMA",4,0.428414816672759,0.431474785923198,0.430301180941837,0.00711122670809494,True
4AMP,1,0.412588796419282,0.452163180354291,0.430978252643585,0.0918245495967918,False
4AMP,2,0.412589606729478,0.45215916996307,0.430979100241051,0.0918131835429158,False
4AMP,3,0.412580467936966,0.452166201047918,0.430977178579298,0.0918511120274294,False
4AMP,4,0.412590285366182,0.452166886948901,0.430978000051849,0.0918297490311746,False
4AMP,5,0.402656902766676,0.457603777424636,0.429228737744705,0.128013037865703,True
4AMP,6,0.402676741224388,0.457567149541542,0.429228414431028,0.12788158116213,False
4AMP,7,0.402657042513484,0.457602383894202,0.429228838426853,0.128009435670948,False
4AMP,8,0.402673210673491,0.457577252545164,0.429227350452823,0.127913661172223,False
3AMP,1,0.424640924039968,0.434929724438639,0.429270953811151,0.0239680796180708,False
3AMP,2,0.423851669892006,0.435987494488733,0.428759906734257,0.0283044762491019,True
3AMP,3,0.423851669892006,0.435987494488733,0.428759906734257,0.0283044762491018,True
3AMP,4,0.424640924039968,0.434929724438639,0.429270953811151,0.02396807961807,False
4AMPy,1,0.425638556665107,0.433826647931093,0.430375201127721,0.019025471831394,False
4AMPy,2,0.424164721403965,0.434638300362665,0.430289725841498,0.0243407600267873,False
4AMPy,3,0.407907403654864,0.467619873337835,0.431973983296425,0.138231634292651,False
4AMPy,4,0.406930256741517,0.469565252103075,0.432214733135072,0.144916381973458,True
DGA,1,0.406166008179745,0.465206137679631,0.4304204409408,0.137168507543085,False
DGA,2,0.406166914983116,0.465224521361088,0.430427061988057,0.137207001123947,False
DGA,3,0.406183292615163,0.46521141962896,0.430418801056704,0.137141144552422,False
DGA,4,0.406191136318349,0.465211724835716,0.430420416953908,0.137123115429924,False
DGA,5,0.396840515216878,0.479076480268345,0.430681698688142,0.190943718532638,False
DGA,6,0.396842578573481,0.479081098383491,0.430682945627219,0.190949097578598,False
DGA,7,0.396841163038307,0.479089029755381,0.430682731435164,0.190970895078611,True
DGA,8,0.396844437344555,0.479088929866757,0.430684074363791,0.190962465105527,False
2AEPy,1,0.40574649609983,0.457929740289099,0.429554996549531,0.121482102660752,False
2AEPy,2,0.40574649609983,0.457929740289099,0.429554993546369,0.121482103510073,True
2AEPy,3,0.40574649609983,0.457929740289099,0.429554996549531,0.121482102660751,False
2AEPy,4,0.40574649609983,0.457929740289099,0.429554993546369,0.121482103510073,True
4AEPy,1,0.410258059063486,0.447552713960451,0.428586639574479,0.0870177729618283,True
4AEPy,2,0.41025605628831,0.447546571902701,0.42858606489534,0.0870082316453683,False
4AEPy,3,0.410262776424391,0.447544402332389,0.428586093400759,0.0869874839199137,False
4AEPy,4,0.41025592238316,0.447545916640854,0.428584935330778,0.087007244500822,False
BDA,1,0.429591753228139,0.431172475877682,0.430314453147286,0.0036734128681535,False
BDA,2,0.429525487570719,0.431318944768562,0.430548508199015,0.00416551715704513,True
OBE,1,0.410550715160895,0.450620159268513,0.429198005270128,0.09335887775713,False
OBE,2,0.410548395724928,0.450619225609134,0.42919676313601,0.0933623767137031,True
OBE,3,0.410554994618527,0.450606137467999,0.429196888789721,0.0933164799083476,False
OBE,4,0.410552803371451,0.45061983878142,0.429195752341,0.0933537556963864,False
AEP,1,0.394269009433368,0.489079797932304,0.430645859319383,0.220159526551075,False
AEP,2,0.398188061641897,0.472702485190569,0.430581707249643,0.173055246644441,False
AEP,3,0.394223746948207,0.489072598997413,0.430637520485137,0.220252178542996,True
AEP,4,0.398172627293932,0.472730189220366,0.430579619583312,0.173156272464977,False
HDA,1,0.429556612382902,0.430289445031464,0.430012930806007,0.00170421072498642,True
HDA,2,0.429556727184941,0.430289483607159,0.430013002435634,0.00170403317589694,False
DAN,1,0.429586484904236,0.430324881163642,0.42986369885888,0.00171774509307643,False
DAN,2,0.429586484904236,0.430324881163642,0.429863495619189,0.00171774590522659,True
"1,4CDMA",1,0.429379369701504,0.430064328886182,0.429768968307788,0.00159378464986755,False
"1,4CDMA",2,0.429375944979745,0.43007669014809,0.429775420709406,0.00163049149527571,True
